candidate_id,candidate_offense_kappa,candidate_defense_kappa,evaluation_scenario_id,evaluation_offense_kappa,evaluation_defense_kappa,expected_re_per_team_game,total_expected_re
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.00__defense_kappa_0.00,0,0,0.672545563166629,2004.18577823656
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.00__defense_kappa_0.25,0,0.25,0.626992861743877,1868.43872799675
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.00__defense_kappa_0.50,0,0.5,0.569882420701758,1698.24961369124
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.00__defense_kappa_0.75,0,0.75,0.523767222590513,1560.82632331973
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.00__defense_kappa_1.00,0,1,0.490068438144322,1460.40394567008
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.25__defense_kappa_0.00,0.25,0,0.596748593432612,1778.31080842918
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.25__defense_kappa_0.25,0.25,0.25,0.528209312680906,1574.0637517891
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.25__defense_kappa_0.50,0.25,0.5,0.468287544650751,1395.49688305924
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.25__defense_kappa_0.75,0.25,0.75,0.424123563506862,1263.88821925045
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.25__defense_kappa_1.00,0.25,1,0.392969687565723,1171.04966894586
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.50__defense_kappa_0.00,0.5,0,0.522761013608446,1557.82782055317
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.50__defense_kappa_0.25,0.5,0.25,0.45417979418016,1353.45578665688
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.50__defense_kappa_0.50,0.5,0.5,0.396907261901836,1182.78364046747
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.50__defense_kappa_0.75,0.5,0.75,0.35481307572877,1057.34296567173
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.50__defense_kappa_1.00,0.5,1,0.324791261438845,967.877959087759
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.75__defense_kappa_0.00,0.75,0,0.47786401543278,1424.03476598968
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.75__defense_kappa_0.25,0.75,0.25,0.411536329880555,1226.37826304405
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.75__defense_kappa_0.50,0.75,0.5,0.355863056269899,1060.4719076843
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.75__defense_kappa_0.75,0.75,0.75,0.314431988261218,937.007325018429
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_0.75__defense_kappa_1.00,0.75,1,0.284412624483422,847.549620960596
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_1.00__defense_kappa_0.00,1,0,0.451080898046352,1344.22107617813
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_1.00__defense_kappa_0.25,1,0.25,0.386728840657696,1152.45194515993
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_1.00__defense_kappa_0.50,1,0.5,0.331830458661416,988.854766811021
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_1.00__defense_kappa_0.75,1,0.75,0.29043084901872,865.483930075787
offense_kappa_1.00__defense_kappa_1.00,1,1,offense_kappa_1.00__defense_kappa_1.00,1,1,0.260038080825614,774.913480860328
