metric,value
observed_re_per_game,0.459482993375903
learned_re_per_game,0.559502690982937
gain_re_per_game,0.100019697607034
gain_lower_95_per_game,0.073751441976007
gain_upper_95_per_game,0.128127536761602
observed_success_rate,0.541978021978022
learned_success_rate,0.452715661194214
relative_gain,0.217678780387869
observed_attempts,2275
learned_expected_attempts,2961.71591829884
attempt_increase,0.301853150900589
offense_gain_per_game,0.0681465572118965
defense_gain_per_game,0.0318731403951376
offense_gain_share,0.681331366143863
bellman_re_per_game,0.560628675326176
oracle_re_per_game,1.39909955259499
policy_oracle_share,0.39990198692094
development_scenario_count,25
development_worst_case_re_per_team_game,0.260038080825614
development_best_case_re_per_team_game,0.672545563166629
development_mean_re_per_team_game,0.436450590263187
selected_offense_kappa,1
selected_defense_kappa,1
offense_clock_opportunities,23284
defense_clock_opportunities,49349
offense_positive_correctable_calls,2797
defense_positive_correctable_calls,2170
offense_positive_correctable_rate,0.120125408005497
defense_positive_correctable_rate,0.0439725222395591
offense_mean_correctable_stake,0.13213540255392
defense_mean_correctable_stake,0.150124311841658
offense_oracle_re_per_game,0.74362720511733
defense_oracle_re_per_game,0.655472347477663
team_bootstrap_replicates,5000
public_information_re_per_game,0.196239570006791
fitted_human_re_per_game,0.426647517726086
observed_captured_re_total,228.363047707824
learned_expected_successes,1340.81518022209
raw_games,1989
raw_called_pitches,292381
raw_tracked_pitches,292127
reporting_development_games,1488
reporting_development_called_pitches,219130
reporting_development_tracked_pitches,218896
reporting_development_challenges,6263
reporting_confirmation_games,497
reporting_confirmation_called_pitches,72653
reporting_confirmation_tracked_pitches,72633
reporting_confirmation_challenges,2275
reporting_confirmation_overturned,1233
reporting_confirmation_upheld,1042
tracked_official_challenge_rulings,8537
confirmation_geometry_correctable_calls,4975
confirmation_positive_value_oracle_actions,4967
confirmation_zero_value_correctable_calls,8
offense_effective_width_inches,2.93971582509095
defense_effective_width_inches,1.81719219878925
empirical_prior_alpha,200
conditional_bootstrap_replicates,5000
development_training_games,1490
team_minimum_games,31
team_maximum_games,35
binding_offense_kappa,1
binding_defense_kappa,1
