role,inning,clock_opportunities,observed_challenges,observed_challenge_rate,learned_expected_challenges,learned_challenge_rate
defense,1,5876,131,0.0222940776038121,185.459645029985,0.0315622268601063
defense,2,5459,111,0.0203333943945778,176.206783659445,0.0322782164607886
defense,3,5571,145,0.0260276431520373,160.410959089754,0.0287939255232012
defense,4,5439,121,0.0222467365324508,150.754236557613,0.0277172709243635
defense,5,5348,125,0.0233732236350037,134.084664837809,0.025071926858229
defense,6,5741,172,0.0299599372931545,176.622912049847,0.0307651823810916
defense,7,5647,134,0.0237294138480609,168.821858703615,0.0298958488938579
defense,8,5552,136,0.0244956772334294,175.635369229714,0.0316346126134211
defense,9,4030,155,0.0384615384615385,116.371705426276,0.0288763537037906
defense,10+,686,30,0.043731778425656,44.27236231905,0.0645369713105686
offense,1,2764,94,0.0340086830680174,144.808996079252,0.052391098436777
offense,2,2685,76,0.0283054003724395,115.652529322909,0.0430735677180295
offense,3,2610,90,0.0344827586206897,135.932829321355,0.0520815438012854
offense,4,2588,96,0.0370942812982998,133.208773259006,0.0514717052778228
offense,5,2512,113,0.044984076433121,138.132270772515,0.0549889612947911
offense,6,2620,115,0.0438931297709924,175.901767405952,0.0671380791625772
offense,7,2617,128,0.0489109667558273,185.070850867052,0.0707187049549301
offense,8,2640,134,0.0507575757575758,217.186010692896,0.0822674282927638
offense,9,1968,138,0.0701219512195122,173.283209134924,0.0880504111457945
offense,10+,280,31,0.110714285714286,53.8981845398732,0.192493516213833
