policy,scenario_id,role,bootstrap_replicates,captured_re_lower_95,captured_re_upper_95,gain_lower_95,gain_upper_95,oracle_share_lower_95,oracle_share_upper_95
bellman_structural,offense_kappa_1.00__defense_kappa_1.00,combined,5000,261.27585714799,296.475175173175,37.1470887582379,64.2535947303328,0.389372482199151,0.411768649913766
bellman_structural,offense_kappa_1.00__defense_kappa_1.00,defense,5000,136.296572033059,161.683121157446,7.0040605027622,25.9049708898982,0.440895065118936,0.472380647014121
bellman_structural,offense_kappa_1.00__defense_kappa_1.00,offense,5000,118.925503445199,141.542570815825,24.789827614735,43.3556942878192,0.335441776014473,0.367350134495531
direct_learning_procedure,offense_kappa_1.00__defense_kappa_1.00,combined,5000,260.744138855298,295.874582317465,36.6544666620755,63.6793857705163,0.388369250269208,0.410957611731877
direct_learning_procedure,offense_kappa_1.00__defense_kappa_1.00,defense,5000,135.668998503951,161.034236042465,6.46435296355274,25.3015497331917,0.439124440721688,0.470484360734746
direct_learning_procedure,offense_kappa_1.00__defense_kappa_1.00,offense,5000,119.02402897824,141.643792979837,24.9174863691098,43.3060451412104,0.335339680767071,0.367336370401347
exact_location_oracle,offense_kappa_1.00__defense_kappa_1.00,combined,5000,663.279595380885,727.777387113701,443.454140492291,490.735128361321,1,1
exact_location_oracle,offense_kappa_1.00__defense_kappa_1.00,defense,5000,304.293204590883,347.253396290646,179.441150858866,208.28365664966,1,1
exact_location_oracle,offense_kappa_1.00__defense_kappa_1.00,offense,5000,349.191301236499,391.303500972963,257.589795177921,291.055794390316,1,1
fitted_human_selection,offense_kappa_1.00__defense_kappa_1.00,combined,5000,197.780660696126,226.531877802095,-28.1810601265489,-4.15834303936023,0.294263167762414,0.315783905805463
fitted_human_selection,offense_kappa_1.00__defense_kappa_1.00,defense,5000,107.591965447415,129.691064805226,-22.6593082207838,-5.25167090598196,0.348341337038866,0.380094765436963
fitted_human_selection,offense_kappa_1.00__defense_kappa_1.00,offense,5000,85.5022109412565,101.992673765913,-10.4528821312729,5.61247047855643,0.239845590216038,0.266827852641457
observed,offense_kappa_1.00__defense_kappa_1.00,combined,5000,209.638411738963,247.830762864221,0,0,0.308070945104805,0.348518094486601
observed,offense_kappa_1.00__defense_kappa_1.00,defense,5000,117.911906904502,147.116977606741,0,0,0.375571156811225,0.436824474486132
observed,offense_kappa_1.00__defense_kappa_1.00,offense,5000,84.3438649194483,108.15085691393,0,0,0.234198978204726,0.285411680193491
public_information_only,offense_kappa_1.00__defense_kappa_1.00,combined,5000,83.5599631133209,112.674496609159,-148.857498832673,-112.289232633306,0.122561127615802,0.158612692937606
public_information_only,offense_kappa_1.00__defense_kappa_1.00,defense,5000,10.7079399825124,26.046015016248,-128.209023366902,-101.041145670783,0.0336780224854051,0.0775251319813047
public_information_only,offense_kappa_1.00__defense_kappa_1.00,offense,5000,67.6699988189632,92.8307622009599,-27.3525891109097,-4.57161242297281,0.187842006075671,0.244442352287802
robust_signal_assisted,offense_kappa_1.00__defense_kappa_1.00,combined,5000,260.744138855298,295.874582317465,36.6544666620755,63.6793857705163,0.388369250269208,0.410957611731877
robust_signal_assisted,offense_kappa_1.00__defense_kappa_1.00,defense,5000,135.668998503951,161.034236042465,6.46435296355274,25.3015497331917,0.439124440721688,0.470484360734746
robust_signal_assisted,offense_kappa_1.00__defense_kappa_1.00,offense,5000,119.02402897824,141.643792979837,24.9174863691098,43.3060451412104,0.335339680767071,0.367336370401347
