role,alpha,mean_score,game_clustered_se,games,rows,best_mean_score,one_se_threshold,within_one_se,selected
defense,0,-3.07886309565089,0.00869801631664801,1490,148608,-3.0788630434567,-3.08756045349042,TRUE,FALSE
defense,25,-3.0788630434567,0.00869741003371973,1490,148608,-3.0788630434567,-3.08756045349042,TRUE,FALSE
defense,50,-3.07886742869671,0.0086968335680356,1490,148608,-3.0788630434567,-3.08756045349042,TRUE,FALSE
defense,100,-3.07888832165612,0.00869576513575178,1490,148608,-3.0788630434567,-3.08756045349042,TRUE,FALSE
defense,200,-3.07897161391364,0.00869393563159458,1490,148608,-3.0788630434567,-3.08756045349042,TRUE,TRUE
offense,0,-1.54894495114273,0.0042814306397273,1490,70563,-1.54894035123124,-1.55322081237206,TRUE,FALSE
offense,25,-1.54894035123124,0.0042804611408185,1490,70563,-1.54894035123124,-1.55322081237206,TRUE,FALSE
offense,50,-1.54894080750207,0.00427955319417215,1490,70563,-1.54894035123124,-1.55322081237206,TRUE,FALSE
offense,100,-1.54895470375432,0.00427790265283611,1490,70563,-1.54894035123124,-1.55322081237206,TRUE,FALSE
offense,200,-1.54902240060217,0.00427515283565241,1490,70563,-1.54894035123124,-1.55322081237206,TRUE,TRUE
