role,inning,clock_opportunities,learned_expected_challenges,observed_challenges,observed_challenge_rate,learned_challenge_rate
defense,1,5876,185.459645029985,131,0.0222940776038121,0.0315622268601063
defense,2,5459,176.206783659445,111,0.0203333943945778,0.0322782164607886
defense,3,5571,160.410959089754,145,0.0260276431520373,0.0287939255232012
defense,4,5439,150.754236557613,121,0.0222467365324508,0.0277172709243635
defense,5,5348,134.084664837809,125,0.0233732236350037,0.025071926858229
defense,6,5741,176.622912049847,172,0.0299599372931545,0.0307651823810916
defense,7,5647,168.821858703615,134,0.0237294138480609,0.0298958488938579
defense,8,5552,175.635369229714,136,0.0244956772334294,0.0316346126134211
defense,9,4030,116.371705426276,155,0.0384615384615385,0.0288763537037906
defense,10+,686,44.27236231905,30,0.043731778425656,0.0645369713105686
offense,1,2764,144.808996079252,94,0.0340086830680174,0.052391098436777
offense,2,2685,115.652529322909,76,0.0283054003724395,0.0430735677180295
offense,3,2610,135.932829321355,90,0.0344827586206897,0.0520815438012854
offense,4,2588,133.208773259006,96,0.0370942812982998,0.0514717052778228
offense,5,2512,138.132270772515,113,0.044984076433121,0.0549889612947911
offense,6,2620,175.901767405952,115,0.0438931297709924,0.0671380791625772
offense,7,2617,185.070850867052,128,0.0489109667558273,0.0707187049549301
offense,8,2640,217.186010692896,134,0.0507575757575758,0.0822674282927638
offense,9,1968,173.283209134924,138,0.0701219512195122,0.0880504111457945
offense,10+,280,53.8981845398732,31,0.110714285714286,0.192493516213833
